comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1871762823	haro****	장난칠것을 장난 쳐야지, 조국 같은 놈이 무슨 대권주자란 말인가!!!!!!	2019-10-01T15:00:27+0900	1	0
1871762473	cami****	자왜당이  젤 싫어하는거보면  조국 이미 검증끝났네  대통령 후보나오면 찍어줘야지	2019-10-01T15:00:14+0900	2	3
1871759163	bjh4****	삶은 소대가리가 웃다가 틀니빠지는소리하고 자빠졌네.	2019-10-01T14:57:34+0900	2	0
1871758043	yong****	지들끼리 여론조사하고 마치 전 국민이 그렇다는 것처럼 급부상이래 ㅋㅋㅋ	2019-10-01T14:56:42+0900	7	0
1871757383	sony****	리얼미터 개호구 사기집단은 반드시 응징당할것이다!!!!	2019-10-01T14:56:10+0900	3	3
1871756473	joon****	국민은 그 수준에 맞는 지도자를 가진다	2019-10-01T14:55:27+0900	0	0
1871755983	lku1****	와우! 드뎌 교주님 등장!!!   조컷다 신자들...교주님 마니 마니 응원해 주세요  교주님이 이번 시련만 극복하면 신자님들 평생 실업급여 받으며 살 수 있게 해드릴겁니다 ... 어떤 일이 있어도 집단 자살은 않됩니다...	2019-10-01T14:55:05+0900	1	0
1871755343	yeti****	이게  말이냐?  저런 피의자가 대선후보? 국민을 아주 개돼지로 보는구만.	2019-10-01T14:54:31+0900	6	1
1871754963	bjh4****	이게 사실이라면 리얼미터가 미쳤서조작을 했던가,아니면 전라도것들만 조사했겠지	2019-10-01T14:54:13+0900	3	1
1871754853	kth3****	3위 조국 이 얼마나 비정상적인 여론조사 결과인가. 아무리 개인의 의견이 존중되어야 하지만 이게 나라냐!	2019-10-01T14:54:09+0900	6	2
1871754693	ssct****	맞다,  지금 대통 보궐선거하자. 조국님  출마하시라. 이니님은 선거본부장으로 결단하시죠	2019-10-01T14:54:01+0900	0	0
1871754603	kore****	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 크게 웃고 갑니다	2019-10-01T14:53:58+0900	4	0
